region,type_source,type,type_v01,residential_type,remove,english_name,source_datasets
germany,31001_1020,residential,non-residential,apartment block,False,dorm,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1021,public,non-residential,,False,children's home,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1022,residential,residential,,False,retirement home,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1023,residential,residential,,False,sisters dorm,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1024,residential,residential,apartment block,False,student dormitories,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1025,residential,non-residential,,False,school hostel,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1100,commercial,residential,,False,Mixed use building with housing,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1110,public,residential,,False,Residential building with common needs,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1120,commercial,residential,,False,Residential building with trade and services,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1121,public,residential,,False,residential and administrative buildings,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1122,commercial,residential,,False,residential and office buildings,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1123,commercial,residential,,False,residential and commercial buildings,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1130,commercial,residential,,False,Residential building with trade and industry,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1131,commercial,residential,,False,residential and commercial buildings,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1210,residential,residential,,False,Agricultural and forestry residential building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1220,agricultural,residential,,False,Agricultural and forestry residential and company building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1221,residential,residential,detached single-family house,False,farmhouse,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1222,residential,residential,,False,Residential and farm buildings,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1223,residential,residential,detached single-family house,False,Forsthaus,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1310,public,non-residential,,False,Recreational buildings,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1311,residential,residential,detached single-family house,False,Ferienhaus,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1312,residential,residential,detached single-family house,False,weekend house,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1313,residential,non-residential,detached single-family house,False,garden house,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2000,commercial,non-residential,,False,Business or commercial buildings,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2010,commercial,non-residential,,False,Building for trade and services,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2020,commercial,non-residential,,False,office building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2030,commercial,non-residential,,False,credit institution,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2040,commercial,non-residential,,False,insurance,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2050,commercial,non-residential,,False,commercial building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2051,commercial,non-residential,,False,department store,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2052,commercial,non-residential,,False,shopping mall,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2053,commercial,non-residential,,False,Markthalle,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2054,commercial,non-residential,,False,Laden,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2055,commercial,non-residential,,False,Kiosk,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2056,commercial,non-residential,,False,pharmacy,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2060,commercial,non-residential,,False,Messehalle,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2070,commercial,non-residential,,False,buildings for accommodation,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2071,commercial,non-residential,,False,"Hotel, Motel, Pension","gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2072,commercial,non-residential,,False,Jugendherberge,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2073,residential,non-residential,,False,Hut (with accommodation),"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2074,others,non-residential,,False,campsite building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2080,commercial,non-residential,,False,Building for hospitality,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2081,commercial,non-residential,,False,"pub, restaurant","gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2082,others,non-residential,,False,Hut (without overnight accommodation),"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2083,commercial,non-residential,,False,Canteen,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2090,public,non-residential,,False,place of leisure and entertainment,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2091,commercial,non-residential,,False,ballroom,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2092,commercial,non-residential,,False,Kino,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2093,commercial,non-residential,,False,Bowling hall,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2094,commercial,non-residential,,False,casino,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2100,commercial,non-residential,,False,Commercial and industrial buildings,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2110,industrial,non-residential,,False,production building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2111,industrial,non-residential,,False,factory,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2112,public,non-residential,,False,operations building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2113,industrial,non-residential,,False,Brauerei,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2114,industrial,non-residential,,False,distillery,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2120,industrial,non-residential,,False,workshop,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2121,industrial,non-residential,,False,S??gewerk,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2130,commercial,non-residential,,False,Gas station,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2131,commercial,non-residential,,False,"Car wash, car wash, car wash","gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2140,commercial,non-residential,,False,Storage building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2141,industrial,non-residential,,False,cold store,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2142,industrial,non-residential,,False,storage building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2143,industrial,non-residential,,False,"Warehouse, storage shed, storehouse","gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2150,industrial,non-residential,,False,forwarding building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2160,public,non-residential,,False,buildings for research purposes,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2170,industrial,non-residential,,False,Raw material extraction building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2171,industrial,non-residential,,False,mine,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2172,industrial,non-residential,,False,Saline,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2180,public,non-residential,,False,Building for company social facility,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2200,commercial,non-residential,,False,Miscellaneous commercial and industrial buildings,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2210,agricultural,non-residential,,False,M??hle,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2211,agricultural,non-residential,,False,windmill,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2212,agricultural,non-residential,,False,watermill,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2213,industrial,non-residential,,False,pumping station,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2220,public,non-residential,,False,weather station,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2310,commercial,residential,,False,Building for trade and services with housing,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2320,commercial,residential,,False,Building for trade and industry with living,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2400,industrial,non-residential,,False,Operations building for traffic facilities (general),"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2410,industrial,non-residential,,False,Operations building for road traffic,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2411,industrial,non-residential,,False,road maintenance,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2412,public,non-residential,,False,waiting room,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2420,industrial,non-residential,,False,Operations building for rail traffic,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2421,residential,non-residential,detached single-family house,False,gatekeeper house,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2422,industrial,non-residential,,False,"Locomotive shed, wagon hall","gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2423,industrial,non-residential,,False,"Signal box, block post","gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2424,industrial,non-residential,,False,Operations building of the freight station,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2430,industrial,non-residential,,False,Operations building for air traffic,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2431,industrial,non-residential,,False,hangar,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2440,industrial,non-residential,,False,Operations building for ship traffic,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2441,industrial,non-residential,,False,shipyard (hall),"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2442,industrial,non-residential,,False,dock (hall),"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2443,industrial,non-residential,,False,Operations building to the lock,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2444,others,non-residential,,False,Bootshaus,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2450,industrial,non-residential,,False,Operating building for the cable car,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2451,,non-residential,,True,Tension system for the cable car,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2460,commercial,non-residential,,False,building for parking,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2461,commercial,non-residential,,False,parking garage,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2462,commercial,non-residential,,False,parking deck,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2463,others,non-residential,,False,Garage,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2464,commercial,non-residential,,False,vehicle hall,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2465,,non-residential,,True,underground car park,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2500,commercial,non-residential,,False,building for supply,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2501,industrial,non-residential,,False,Energy supply buildings,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2510,industrial,non-residential,,False,water supply building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2511,industrial,non-residential,,False,waterworks,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2512,industrial,non-residential,,False,Pump station,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2513,industrial,non-residential,,False,water tank,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2520,industrial,non-residential,,False,Building for electricity supply,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2521,industrial,non-residential,,False,power station,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2522,industrial,non-residential,,False,substation,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2523,industrial,non-residential,,False,converter,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2527,industrial,non-residential,,False,reactor building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2528,industrial,non-residential,,False,Turbinenhaus,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2529,industrial,non-residential,,False,Kesselhaus,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2540,industrial,non-residential,,False,Telecommunications building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2560,public,non-residential,,False,buildings on underground lines,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2570,industrial,non-residential,,False,Building for gas supply,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2571,industrial,non-residential,,False,Gaswerk,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2580,industrial,non-residential,,False,heating plant,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2590,industrial,non-residential,,False,Building for the supply system,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2591,industrial,non-residential,,False,pump station (not for water supply),"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2600,industrial,non-residential,,False,building for disposal,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2610,industrial,non-residential,,False,Building for sewage disposal,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2611,industrial,non-residential,,False,Building of the sewage treatment plant,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2612,public,non-residential,,False,Toilette,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2620,industrial,non-residential,,False,Waste treatment building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2621,industrial,non-residential,,False,garbage bunker,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2622,industrial,non-residential,,False,Waste incineration building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2623,industrial,non-residential,,False,Waste dump building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2700,agricultural,non-residential,,False,buildings for agriculture and forestry,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2720,agricultural,non-residential,,False,Agricultural and forestry company building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2721,agricultural,non-residential,,False,barn,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_2723,others,non-residential,,False,shed,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
